Date,Course Category,Course Name,Course Price,Instructor Cost,Refund Amount,Leads_Clean,Enrollments_clean,Marketing_spend
4/4/2024,Unknown,Corporate Finance,6999,16219,30527,,108,
5/30/2023,Unknown,Sql Bootcamp,7999,,0,70,33,117419
3/8/2023,Marketing,Digital Marketing,,,250,,,
3/2/2024,Unknown,Sql Bootcamp,9999,60576,0,,,
8/21/2024,Data,Data Analytics,9999,79521,0,,,89348
6/20/2023,Unknown,Equity Research,,,0,,,
7/15/2024,Unknown,Data Analytics,9999,22454,0,,112,22837
8/18/2023,Unknown,Data Analytics,5999,,0,738,36,17260
1/31/2023,Data,Data Analytics,7999,,0,530,,15688
8/10/2024,Unknown,Digital Marketing,6999,,0,,23,121648
8/30/2023,Finance,Equity Research,,,30862,,,
11/5/2024,Unknown,Sql Bootcamp,11999,,18639,,92,72669
9/26/2023,Marketing,Brand Strategy,9999,,49620,,,
1/1/2024,Data,Data Analytics,9999,,0,137,120,
12/3/2024,Marketing,Brand Strategy,11999,80367,11570,,,
10/18/2024,Finance,Financial Modeling,6999,,25363,,4,
4/22/2023,Marketing,Performance Marketing,,71843,0,,,
5/14/2023,Data,Data Analytics,11999,,0,,23,163337
4/21/2023,Unknown,Sql Bootcamp,11999,,0,523,,
9/24/2024,Unknown,Performance Marketing,9999,,0,503,,103191
3/1/2024,Marketing,Digital Marketing,7999,81266,0,,,120667
2/24/2024,Finance,Financial Modeling,7999,,0,,108,
10/23/2024,Unknown,Digital Marketing,5999,,0,,65,
4/22/2024,Marketing,Digital Marketing,5999,24762,0,,33,
7/19/2023,Unknown,Equity Research,5999,,0,,,
4/27/2024,Unknown,Digital Marketing,6999,37420,26993,,,
4/3/2024,Data,Data Analytics,,81274,0,,,
9/7/2024,Unknown,Sql Bootcamp,7999,,0,,82,
2/14/2024,Data,Data Analytics,,,7994,118,109,
11/14/2024,Unknown,Digital Marketing,5999,71658,0,,,163800
10/14/2024,Data,Data Analytics,9999,,0,,40,
2/2/2024,Unknown,Brand Strategy,,58445,0,707,,
1/23/2024,Marketing,Performance Marketing,6999,,0,,,184058
6/9/2023,Unknown,Sql Bootcamp,7999,,0,,106,26666
4/22/2024,Data,Data Analytics,9999,,41615,,,103218
6/30/2023,Data,Data Analytics,9999,,0,,,
6/2/2024,Finance,Financial Modeling,7999,3666,28001,,,
